"","municode","state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000"
"188",2330,"AM",1,9.01475867570802,"WILSON FERREIRA LISBOA","2733","PPB","2330-wilson ferreira lisboa",1,1
"189",2356,"AM",0,-26.8402154398564,"ANTONIO CESAR BARONI PEREIRA","4075","PSL","2356-antonio cesar baroni pereira",0,0
"190",2356,"AM",1,26.8402154398564,"RENATO PEREIRA GONCALVES","7065","PTB","2356-renato pereira goncalves",1,1
"191",2372,"AM",0,-28.5377358490566,"MARIOLINO SIQUEIRA DE OLIVEIRA","606","PFL","2372-mariolino siqueira de oliveira",1,0
"192",2372,"AM",1,28.5377358490566,"ANTONIO CARLOS FONTES TEIXEIRA","1090","PPB","2372-antonio carlos fontes teixeira",1,0
"193",2399,"AM",0,-4.13223140495868,"JUAREZ DE OLIVEIRA BARROSO","1740","PTB","2399-juarez de oliveira barroso",0,0
"194",2399,"AM",1,4.13223140495868,"ROBERVAL CORREIA DE OLIVEIRA","1890","PPB","2399-roberval correia de oliveira",0,0
"195",2410,"AM",0,-19.906782779345,"SIRANGE BEZERRA RODRIGUES","6530","PPB","2410-sirange bezerra rodrigues",0,0
"196",2410,"AM",1,19.906782779345,"MIRON OSMARIO FOGACA","9776","PTB","2410-miron osmario fogaca",1,0
"197",2437,"AM",0,-11.1003861003861,"JOAO DE DEUS PLINIO MARQUES","921","PTB","2437-joao de deus plinio marques",1,1
"198",2437,"AM",1,11.1003861003861,"JOSE NIVALTER CORREIA LIMA","1151","PPB","2437-jose nivalter correia lima",1,0
"199",2453,"AM",0,-16.8379446640316,"RAIMUNDO MATIAS BARBOSA","526","PFL","2453-raimundo matias barbosa",1,1
"200",2453,"AM",1,16.8379446640316,"ADALBERTO FONSECA CORTEZ","739","PPB","2453-adalberto fonseca cortez",0,0
"201",2470,"AM",0,-17.0011806375443,"RAIMUNDO NONATO DE AMORIM LITAIFF","703","PSDC","2470-raimundo nonato de amorim litaiff",0,0
"202",2470,"AM",1,17.0011806375443,"TABIRA RAMOS DIAS FERREIRA","991","PTB","2470-tabira ramos dias ferreira",1,1
"203",2496,"AM",0,-11.8823529411765,"UMBERTO AFONSO LASMAR","1498","PTB","2496-umberto afonso lasmar",1,0
"204",2496,"AM",1,11.8823529411765,"RIBAMAR CRUZ DE FARIAS","1902","PSL","2496-ribamar cruz de farias",1,0
"205",2518,"AM",0,-27.1481757259866,"MUSTAF SAID","2446","PSL","2518-mustaf said",1,0
"206",2518,"AM",1,27.1481757259866,"JOSE OLIMPIO FILHO","4269","PFL","2518-jose olimpio filho",1,1
"207",2534,"AM",0,-1.67005764665988,"WASHINGTON LUIZ REGIS DA SILVA","11599","PPB","2534-washington luiz regis da silva",0,0
"208",2534,"AM",1,1.67005764665988,"ANGELUS CRUZ FIGUEIRA","11993","PFL","2534-angelus cruz figueira",1,1
"209",2550,"AM",0,-47.716700904347,"RAIMUNDO NONATO MARREIROS DE OLIVEIRA","44285","PDT","2550-raimundo nonato marreiros de oliveira",0,0
"210",2550,"AM",1,47.716700904347,"GILBERTO MESTRINHO DE MEDEIROS RAPOSO","125119","PMDB","2550-gilberto mestrinho de medeiros raposo",0,0
"211",2577,"AM",0,-2.49201277955272,"EMERSON PEDRACA DE FRANCA","3815","PSDC","2577-emerson pedraca de franca",1,0
"212",2577,"AM",1,2.49201277955272,"WALDOMIRO GOMES","4010","PPB","2577-waldomiro gomes",1,0
"213",2593,"AM",0,-12.5812619502868,"CICERO LOPES DA SILVA","1143","PL","2593-cicero lopes da silva",1,0
"214",2593,"AM",1,12.5812619502868,"DILMAR SANTOS AVILA","1472","PPB","2593-dilmar santos avila",0,0
